time,green,red,yellow,net(g-r)
1781882311.1,11,13,0,-2
1781882312.1,16,13,0,3
1781882313.1,13,6,6,7
1781882314.1,16,6,0,10
1781882316.1,16,,2,
1781882317.1,16,6,0,10
1781882320.1,10,11,3,-1
1781882321.1,0,6,31,-6
1781882323.1,0,6,3,-6
1781882325.1,6,6,,0
1781882326.1,6,0,,6
1781882328.1,0,6,1,-6
1781882330.1,6,6,1,0
1781882332.1,16,6,1,10
1781882334.1,3,6,1,-3
1781882335.1,0,6,1,-6
1781882336.1,0,11,1,-11
1781882337.1,0,11,0,-11
1781882339.1,0,11,,-11
1781882340.1,0,11,3,-11
1781882343.1,11,11,3,0
1781882344.1,0,11,3,-11
1781882347.1,0,11,1,-11
1781882348.1,0,11,6,-11
1781882349.1,0,10,3,-10
1781882352.1,0,16,3,-16
1781882354.1,0,16,2,-16
1781882359.1,11,16,2,-5
1781882360.2,61,16,2,45
1781882361.2,0,16,2,-16
1781882363.2,0,,3,
1781882364.2,0,16,3,-16
1781882368.2,0,16,16,-16
1781882369.2,0,16,3,-16
1781882371.2,0,16,6,-16
1781882374.2,0,16,16,-16
1781882375.2,1,10,3,-9
1781882376.2,1,16,3,-15
1781882377.2,61,16,3,45
1781882378.2,61,16,6,45
1781882379.2,61,16,33,45
1781882380.2,1,16,1,-15
1781882381.2,61,16,1,45
1781882382.2,61,16,,45
1781882385.2,1,16,3,-15
1781882386.2,61,16,3,45
1781882387.2,61,16,,45
1781882389.2,61,16,3,45
1781882390.2,61,16,6,45
1781882391.2,61,16,2,45
1781882394.2,66,11,3,55
1781882397.2,0,12,2,-12
1781882398.2,0,11,2,-11
1781882403.2,0,16,31,-16
1781882406.2,66,16,31,50
1781882408.2,66,16,33,50
1781882412.2,0,16,31,-16
1781882415.2,6,16,31,-10
1781882416.2,6,10,6,-4
1781882418.2,1,10,36,-9
1781882420.2,0,16,6,-16
1781882421.2,1,10,36,-9
1781882422.2,1,16,6,-15
1781882425.2,1,6,6,-5
